,.model,Region,Product,MAE
155,harmonic2,R1,BFW,109705.6431
156,harmonic2,R1,BNW,69866.0302
157,harmonic2,R1,CFD,474188.347
158,harmonic2,R1,CFW,1545017.783
159,harmonic2,R1,CNW,95741.36443
160,harmonic2,R1,DFD,90295.52317
161,harmonic2,R1,DFW,520448.3014
162,harmonic2,R1,DNW,20281.44534
163,harmonic2,R1,EFD,54131.42594
164,harmonic2,R1,EFW,136779.2818
165,harmonic2,R1,ENW,17784.64181
166,harmonic2,R10,AFD,2932844.797
167,harmonic2,R10,AFW,4698129.425
168,harmonic2,R10,ANW,153203.1187
169,harmonic2,R10,BFD,7837664.956
170,harmonic2,R10,BFW,438957.7238
171,harmonic2,R10,BNW,538219.0193
172,harmonic2,R10,CFD,7653000.25
173,harmonic2,R10,CFW,9310384.397
174,harmonic2,R10,CNW,262218.9906
175,harmonic2,R10,DFD,475121.8424
176,harmonic2,R10,DFW,2407401.676
177,harmonic2,R10,DNW,762685.3534
178,harmonic2,R10,EFD,624831.2658
179,harmonic2,R10,EFW,995592.0088
180,harmonic2,R10,ENW,448588.6208
181,harmonic2,R2,AFD,30989.88397
182,harmonic2,R2,AFW,38156403.93
183,harmonic2,R2,ANW,825.1459391
184,harmonic2,R2,BFD,86811.21205
185,harmonic2,R2,BFW,21162.61988
186,harmonic2,R2,BNW,154835.9324
187,harmonic2,R2,CFD,242538.2435
188,harmonic2,R2,CFW,2262814.023
189,harmonic2,R2,CNW,8941.083664
190,harmonic2,R2,DFD,35036.85972
191,harmonic2,R2,DFW,6210.020453
192,harmonic2,R2,DNW,1043.030482
193,harmonic2,R2,EFD,37136.62836
194,harmonic2,R2,EFW,211201.5425
195,harmonic2,R2,ENW,1080.614
196,harmonic2,R3,AFD,102226.3354
197,harmonic2,R3,AFW,641375.2576
198,harmonic2,R3,ANW,2249.953149
199,harmonic2,R3,BFD,72737.11394
200,harmonic2,R3,BFW,23025.53567
201,harmonic2,R3,BNW,11055.99139
202,harmonic2,R3,CFD,7230.82149
203,harmonic2,R3,CFW,1870465.549
204,harmonic2,R3,CNW,565.142195
205,harmonic2,R3,DFD,48867.26737
206,harmonic2,R3,DFW,184.2865598
207,harmonic2,R3,DNW,4.030404249
208,harmonic2,R3,EFD,2577.695473
209,harmonic2,R3,EFW,277674.3821
210,harmonic2,R3,ENW,1096.696559
211,harmonic2,R4,AFD,34791.13771
212,harmonic2,R4,AFW,1013759.024
213,harmonic2,R4,ANW,6856.440769
214,harmonic2,R4,BFD,173446.8137
215,harmonic2,R4,BFW,16676.9002
216,harmonic2,R4,BNW,73025.36268
217,harmonic2,R4,CFD,187770.1305
218,harmonic2,R4,CFW,558392.3335
219,harmonic2,R4,CNW,23062.28816
220,harmonic2,R4,DFD,28814.60774
221,harmonic2,R4,DFW,86610.12513
222,harmonic2,R4,DNW,15293.3298
223,harmonic2,R4,EFD,11369.68988
224,harmonic2,R4,EFW,21352.56953
225,harmonic2,R4,ENW,5775.192753
226,harmonic2,R5,AFD,28343.26591
227,harmonic2,R5,AFW,2107524.582
228,harmonic2,R5,ANW,15530.4908
229,harmonic2,R5,BFD,36646.52698
230,harmonic2,R5,BFW,25371.20276
231,harmonic2,R5,BNW,40662.87771
232,harmonic2,R5,CFD,129082.5674
233,harmonic2,R5,CFW,786514.8562
234,harmonic2,R5,CNW,67060.0129
235,harmonic2,R5,DFD,25430.30823
236,harmonic2,R5,DFW,179374.1825
237,harmonic2,R5,DNW,14744.53354
238,harmonic2,R5,EFD,14606.64153
239,harmonic2,R5,EFW,23283.25217
240,harmonic2,R5,ENW,3057.066426
241,harmonic2,R6,AFD,789051.3853
242,harmonic2,R6,AFW,4660925.612
243,harmonic2,R6,ANW,37882.2816
